name,longitude,latitude
Uzbekistan,41.377491,64.585262
Vanuatu,-15.376706,166.959158
Vatican City,41.902916,12.453389
Venezuela,6.42375,-66.58973
Vietnam,14.058324,108.277199
Wallis & Futuna,-14.2938,-178.1165
Western Sahara,24.215527,-12.885834
Yemen,15.552727,48.516388
Zambia,-13.133897,27.849332
Zimbabwe,-19.015438,29.154857
Åland Islands,60.1785247,19.9156105
