country,users,population,rank,percentage
Kuwait,4053797,4136528,95,0.98
Ireland,4024552,4761657,96,0.8452
Oman,3717818,4636262,97,0.8019
Costa Rica,3511549,4905769,98,0.7158
Palestinian Authority,3208312,4920724,99,0.652
Moldova,3083783,4051212,100,0.7612
Burkina Faso,3047909,19193382,101,0.1588
Honduras,2977793,9265067,102,0.3214
Croatia,2811056,4189353,103,0.671
Puerto Rico,2664928,3663131,104,0.7275
Rwanda,2657770,12208407,105,0.2177
Malawi,2566126,18622104,106,0.1378
Qatar,2532059,2639211,107,0.9594
Madagascar,2505948,25570895,108,0.098
Bosnia and Herzegovina,2437026,3507017,109,0.6949
Panama,2371852,4098587,110,0.5787
Georgia,2366406,3912061,111,0.6049
Uruguay,2360269,3456750,112,0.6828
Mali,2358540,18541980,113,0.1272
Kyrgyzstan,2309235,6045117,114,0.382
Lithuania,2243448,2890297,115,0.7762
Niger,2194985,21477348,116,0.1022
Albania,2105339,2930187,117,0.7185
Armenia,2043110,2930450,118,0.6972
El Salvador,1993079,6377853,119,0.3125
Tajikistan,1959127,8921343,120,0.2196
Laos,1749517,6858160,121,0.2551
Nicaragua,1732218,6217581,122,0.2786
Slovenia,1640893,2079976,123,0.7889
Macedonia,1589659,2083160,124,0.7631
Latvia,1585471,1949670,125,0.8132
Benin,1578008,11175692,126,0.1412
Guinea,1449758,12717176,127,0.114
Bahrain,1431090,1492584,128,0.9588
Jamaica,1409888,2890299,129,0.4878
Libya,1387116,6374616,130,0.2176
Haiti,1353986,10981229,131,0.1233
Turkmenistan,1223591,5758075,132,0.2125
Estonia,1153786,1309632,133,0.881
Trinidad and Tobago,1058744,1369125,134,0.7733
Gabon,1019049,2025137,135,0.5032
South Sudan,1003542,12575714,136,0.0798
Sierra Leone,1000575,7557212,137,0.1324
Chad,968500,14899994,138,0.065
Togo,963795,7797694,139,0.1236
Cyprus,952369,1179551,140,0.8074
Botswana,948977,2291661,141,0.4141
Namibia,933450,2533794,142,0.3684
Papua New Guinea,924955,8251162,143,0.1121
Mauritania,919398,4420184,144,0.208
Mongolia,729236,3075647,145,0.2371
Mauritius,702911,1265138,146,0.5556
Lesotho,665312,2233339,147,0.2979
Burundi,607311,10864245,148,0.0559
Luxembourg,570794,583455,149,0.9783
Djibouti,532849,956985,150,0.5568
Macau,517789,622567,151,0.8317
Republic of the Congo,455055,5260750,152,0.0865
Fiji,452479,905502,153,0.4997
Montenegro,448260,628960,154,0.7127
The Gambia,416753,2100568,155,0.1984
Swaziland,414278,1367254,156,0.303
Brunei,406705,428697,157,0.9487
Bhutan,388541,807610,158,0.4811
Liberia,377607,4731906,159,0.0798
Timor Leste,356356,1296311,160,0.2749
Malta,344970,430835,161,0.8007
The Bahamas,336057,395361,162,0.85
Equatorial Guinea,332642,1267689,163,0.2624
Iceland,329196,335025,164,0.9826
Cabo Verde,312315,546388,165,0.5716
Somalia,294851,14742523,166,0.02
Guyana,290375,777859,167,0.3733
Suriname,275785,563402,168,0.4895
Maldives,275717,436330,169,0.6319
Barbados,233604,285719,170,0.8176
New Caledonia,226557,276255,171,0.8201
French Polynesia,205746,283007,172,0.727
Central African Republic,202204,4659080,173,0.0434
Belize,176400,374681,174,0.4708
Guam,132221,164229,175,0.8051
Aruba,102285,105264,176,0.9717
Saint Lucia,90889,178844,177,0.5082
Antigua and Barbuda,77529,102012,178,0.76
Andorra,76095,76965,179,0.9887
Guinea-Bissau,73148,1861283,180,0.0393
Solomon Islands,72872,611343,181,0.1192
Saint Vincent and the Grenadines,72048,109897,182,0.6556
Vanuatu,71050,276244,183,0.2572
Comoros,69020,813912,184,0.0848
U.S. Virgin Islands,67535,104901,185,0.6438
Eritrea,66402,5068831,186,0.0131
Samoa,66023,196440,187,0.3361
Grenada,63692,107825,188,0.5907
São Tomé and Príncipe,61155,204327,189,0.2993
Bermuda,60349,61349,190,0.9837
Seychelles,55677,94737,191,0.5877
Dominica,51467,73925,192,0.6962
Cayman Islands,49906,61559,193,0.8107
Faroe Islands,48097,49290,194,0.9758
Saint Kitts and Nevis,44669,55345,195,0.8071
Tonga,44558,108020,196,0.4125
Greenland,39242,56480,197,0.6948
Jersey,38958,165314,198,0.4103
Monaco,37553,38695,199,0.9705
"Micronesia, Federated States of",37257,105544,200,0.353
Liechtenstein,37201,37922,201,0.981
Gibraltar,32494,34571,202,0.9444
Marshall Islands,20560,53127,203,0.387
San Marino,20100,33400,204,0.6018
Kiribati,16971,116398,205,0.1458
British Virgin Islands,14456,31196,206,0.376
Anguilla,12043,14909,207,0.8157
Nauru,6475,11359,208,0.57
Tuvalu,5520,11192,209,0.4932
Saint Helena,2906,4534,210,0.376
Falkland Islands,2881,2910,211,0.9902
Montserrat,2833,5177,212,0.5455
Wallis and Futuna,1383,11773,213,0.0895
Niue,1034,1618,214,0.869
Ascension,361,806,215,0.4103
